longitude,latitude,worldcover_code,worldcover_clase
-84.84999999999971,10.888000000000147,10,Tree cover
-84.84099999999971,10.888000000000147,10,Tree cover
-84.83199999999971,10.888000000000147,30,Grassland
-84.82299999999971,10.888000000000147,30,Grassland
-84.81399999999971,10.888000000000147,40,Cropland
-84.80499999999971,10.888000000000147,10,Tree cover
-84.79599999999971,10.888000000000147,30,Grassland
-84.78699999999971,10.888000000000147,30,Grassland
-84.77799999999971,10.888000000000147,90,Herbaceous wetland
-84.7689999999997,10.888000000000147,30,Grassland
-84.7599999999997,10.888000000000147,30,Grassland
-84.7509999999997,10.888000000000147,10,Tree cover
-84.7419999999997,10.888000000000147,10,Tree cover
-84.7329999999997,10.888000000000147,10,Tree cover
-84.7239999999997,10.888000000000147,10,Tree cover
-84.7149999999997,10.888000000000147,10,Tree cover
-84.7059999999997,10.888000000000147,30,Grassland
-84.6969999999997,10.888000000000147,30,Grassland
-84.6879999999997,10.888000000000147,30,Grassland
-84.6789999999997,10.888000000000147,10,Tree cover
-84.6699999999997,10.888000000000147,30,Grassland
-84.6609999999997,10.888000000000147,40,Cropland
-84.6519999999997,10.888000000000147,10,Tree cover
-84.6429999999997,10.888000000000147,40,Cropland
-84.6339999999997,10.888000000000147,30,Grassland
-84.6249999999997,10.888000000000147,10,Tree cover
-84.6159999999997,10.888000000000147,30,Grassland
-84.6069999999997,10.888000000000147,30,Grassland
-86.24499999999976,10.897000000000148,80,Permanent water bodies
-86.23599999999976,10.897000000000148,80,Permanent water bodies
-86.22699999999976,10.897000000000148,80,Permanent water bodies
-86.21799999999976,10.897000000000148,80,Permanent water bodies
-86.20899999999976,10.897000000000148,80,Permanent water bodies
-86.19999999999976,10.897000000000148,80,Permanent water bodies
-86.19099999999976,10.897000000000148,80,Permanent water bodies
-86.18199999999976,10.897000000000148,80,Permanent water bodies
-86.17299999999976,10.897000000000148,80,Permanent water bodies
-86.16399999999976,10.897000000000148,80,Permanent water bodies
-86.15499999999976,10.897000000000148,80,Permanent water bodies
-86.14599999999976,10.897000000000148,80,Permanent water bodies
-86.13699999999976,10.897000000000148,80,Permanent water bodies
-86.12799999999976,10.897000000000148,80,Permanent water bodies
-86.11899999999976,10.897000000000148,80,Permanent water bodies
-86.10999999999976,10.897000000000148,80,Permanent water bodies
-86.10099999999976,10.897000000000148,80,Permanent water bodies
-86.09199999999976,10.897000000000148,80,Permanent water bodies
-86.08299999999976,10.897000000000148,80,Permanent water bodies
-86.07399999999976,10.897000000000148,80,Permanent water bodies
-86.06499999999976,10.897000000000148,80,Permanent water bodies
-86.05599999999976,10.897000000000148,80,Permanent water bodies
-86.04699999999976,10.897000000000148,80,Permanent water bodies
-86.03799999999976,10.897000000000148,80,Permanent water bodies
-86.02899999999975,10.897000000000148,80,Permanent water bodies
-86.01999999999975,10.897000000000148,80,Permanent water bodies
-86.01099999999975,10.897000000000148,80,Permanent water bodies
